Total Nacional,Comunidades y Ciudades Autónomas,Especies animales,Características básicas de la explotación,Tipo de dato,Tamaño de las explotaciones según UGT,Total
Total Nacional,11 Extremadura,2 Ovinos,Nº explotaciones,Valor,Todas las explotaciones,9.953
Total Nacional,11 Extremadura,3 Caprinos,Nº explotaciones,Valor,Todas las explotaciones,3.218
Total Nacional,11 Extremadura,4 Porcinos,Nº explotaciones,Valor,Todas las explotaciones,5.880
Total Nacional,11 Extremadura,5 Aves de corral,Nº explotaciones,Valor,Todas las explotaciones,840
Total Nacional,11 Extremadura,6 Conejas madres,Nº explotaciones,Valor,Todas las explotaciones,20
Total Nacional,12 Galicia,1 Bovinos,Nº explotaciones,Valor,Todas las explotaciones,28.283
Total Nacional,12 Galicia,2 Ovinos,Nº explotaciones,Valor,Todas las explotaciones,9.142
Total Nacional,12 Galicia,3 Caprinos,Nº explotaciones,Valor,Todas las explotaciones,3.117
Total Nacional,12 Galicia,4 Porcinos,Nº explotaciones,Valor,Todas las explotaciones,6.902
Total Nacional,12 Galicia,5 Aves de corral,Nº explotaciones,Valor,Todas las explotaciones,6.723
Total Nacional,12 Galicia,6 Conejas madres,Nº explotaciones,Valor,Todas las explotaciones,847
Total Nacional,"13 Madrid, Comunidad de",1 Bovinos,Nº explotaciones,Valor,Todas las explotaciones,1.125
Total Nacional,"13 Madrid, Comunidad de",2 Ovinos,Nº explotaciones,Valor,Todas las explotaciones,475
Total Nacional,"13 Madrid, Comunidad de",3 Caprinos,Nº explotaciones,Valor,Todas las explotaciones,215
Total Nacional,"13 Madrid, Comunidad de",4 Porcinos,Nº explotaciones,Valor,Todas las explotaciones,42
Total Nacional,"13 Madrid, Comunidad de",5 Aves de corral,Nº explotaciones,Valor,Todas las explotaciones,82
Total Nacional,"13 Madrid, Comunidad de",6 Conejas madres,Nº explotaciones,Valor,Todas las explotaciones,7
Total Nacional,"14 Murcia, Región de",1 Bovinos,Nº explotaciones,Valor,Todas las explotaciones,222
Total Nacional,"14 Murcia, Región de",2 Ovinos,Nº explotaciones,Valor,Todas las explotaciones,1.037
Total Nacional,"14 Murcia, Región de",3 Caprinos,Nº explotaciones,Valor,Todas las explotaciones,1.248
Total Nacional,"14 Murcia, Región de",4 Porcinos,Nº explotaciones,Valor,Todas las explotaciones,419
Total Nacional,"14 Murcia, Región de",5 Aves de corral,Nº explotaciones,Valor,Todas las explotaciones,202
Total Nacional,"14 Murcia, Región de",6 Conejas madres,Nº explotaciones,Valor,Todas las explotaciones,34
Total Nacional,"15 Navarra, Comunidad Foral de",1 Bovinos,Nº explotaciones,Valor,Todas las explotaciones,1.412
Total Nacional,"15 Navarra, Comunidad Foral de",2 Ovinos,Nº explotaciones,Valor,Todas las explotaciones,1.831
Total Nacional,"15 Navarra, Comunidad Foral de",3 Caprinos,Nº explotaciones,Valor,Todas las explotaciones,436
Total Nacional,"15 Navarra, Comunidad Foral de",4 Porcinos,Nº explotaciones,Valor,Todas las explotaciones,730
Total Nacional,"15 Navarra, Comunidad Foral de",5 Aves de corral,Nº explotaciones,Valor,Todas las explotaciones,272
Total Nacional,"15 Navarra, Comunidad Foral de",6 Conejas madres,Nº explotaciones,Valor,Todas las explotaciones,40
Total Nacional,16 País Vasco,1 Bovinos,Nº explotaciones,Valor,Todas las explotaciones,4.586
Total Nacional,16 País Vasco,2 Ovinos,Nº explotaciones,Valor,Todas las explotaciones,3.773
Total Nacional,16 País Vasco,3 Caprinos,Nº explotaciones,Valor,Todas las explotaciones,1.680
Total Nacional,16 País Vasco,4 Porcinos,Nº explotaciones,Valor,Todas las explotaciones,291
Total Nacional,16 País Vasco,5 Aves de corral,Nº explotaciones,Valor,Todas las explotaciones,1.686
Total Nacional,16 País Vasco,6 Conejas madres,Nº explotaciones,Valor,Todas las explotaciones,263
Total Nacional,"17 Rioja, La",1 Bovinos,Nº explotaciones,Valor,Todas las explotaciones,284
Total Nacional,"17 Rioja, La",2 Ovinos,Nº explotaciones,Valor,Todas las explotaciones,244
Total Nacional,"17 Rioja, La",3 Caprinos,Nº explotaciones,Valor,Todas las explotaciones,160
Total Nacional,"17 Rioja, La",4 Porcinos,Nº explotaciones,Valor,Todas las explotaciones,87
Total Nacional,"17 Rioja, La",5 Aves de corral,Nº explotaciones,Valor,Todas las explotaciones,96
Total Nacional,"17 Rioja, La",6 Conejas madres,Nº explotaciones,Valor,Todas las explotaciones,22
